,Year,GDP,GDPRealRate,Labor,Kapital,KR,Technology,Energy,HR,CPI,HRsq
30,1979,4062.5791908646165,1.0757285384138437,41024.0,1153.1,1.051,62.29,58588.0,93.16,1.0186592950932967,8678.7856
31,1980,4545.6239733557295,1.0784144200791217,42361.0,1322.4,1.113,64.59,60275.0,114.15,1.0753052917232022,13030.222500000002
33,1982,5323.350964674374,1.09056870657736,45295.0,1503.2,1.097,65.29,62067.0,137.61,1.0203076923076924,18936.512100000004
34,1983,5962.651568394068,1.1085297932402534,46436.0,1723.3,1.119,79.1,66040.0,155.24,1.019903498190591,24099.4576
35,1984,7208.051718360079,1.1517602119825183,48197.0,2147.0,1.197,94.72,70904.0,180.88,1.0272028385570668,32717.574399999998
36,1985,9016.036580612483,1.1346619259613373,49873.0,2672.0,1.161,102.59,76682.0,226.83,1.0932642487046633,51451.848900000005
37,1986,10275.179216424738,1.088463766589425,51282.0,3139.7,1.104,112.57,80850.0,274.72,1.0647709320695102,75471.07840000001
38,1987,12058.61512513415,1.1158326378052763,52783.0,3798.7,1.15,113.79,86632.0,293.93,1.073194856577646,86394.84490000001
39,1988,15042.823010095724,1.112805836504168,54334.0,4701.9,1.09,121.12,92997.0,356.66,1.187557603686636,127206.35560000002
41,1990,18667.82237610586,1.0383902493821613,64749.0,4827.8,1.036,139.12,98703.0,462.45,1.031239723775074,213860.0025
42,1991,21781.499410788158,1.0917893669903331,65491.0,6070.3,1.159,160.69,103783.0,532.39,1.0338010204081631,283439.11209999997
45,1994,48197.85644470919,1.1308068183399176,67455.0,17312.7,1.179,268.25,122737.0,883.9794699999999,1.2408390194591863,781419.7033814806
46,1995,60793.7292113314,1.1092498032611888,68065.0,20885.0,1.138,302.36,131176.0,1028.393,1.1710794297352343,1057592.1624490002
47,1996,71176.59165398713,1.1000852344931262,68950.0,24048.1,1.1079999999999999,348.63,135192.0,1211.91336,1.0829565217391306,1468733.9921464897
48,1997,78973.03499649145,1.09297033755969,69820.0,25965.0,1.062,408.86,135909.0,1357.72621,1.028103420587763,1843420.4613209642
49,1998,84402.279768922,1.0783334686183796,70637.0,28569.0,1.1,438.6,136184.0,1565.59174,0.9920337394564198,2451077.496356228
50,1999,89677.0547509045,1.0761983572167424,71394.0,30527.3,1.073,543.85,140569.0,1815.75973,0.9859864588253818,3296983.3970896727
51,2000,99214.5543084772,1.0843127945029927,72085.0,33844.4,1.097,575.62,145531.0,2085.6792,1.0039923347173427,4350057.72531264
52,2001,109655.17055815921,1.083003175913934,72797.0,37754.5,1.111,703.26,150406.0,2582.37619,1.00699856847463,6668666.786678916
53,2002,120332.68927425226,1.0908206796960074,73280.0,43632.1,1.153,816.22,159431.0,3114.23833,0.9919444005686305,9698480.376041189
54,2003,135822.75614955736,1.1002537876145537,73736.0,53490.7,1.199,975.54,183792.0,3453.85826,1.0119426751592357,11929136.880170228
55,2004,159878.33791738964,1.1008503987445366,74264.0,65117.7,1.146,1095.34,213456.0,4027.8158,1.0390243902439025,16223300.118729638
56,2005,184937.36896018017,1.1131003522332978,74647.0,74232.9,1.1220279271650548,1334.91,235997.0,4665.6939,1.0180221111615932,21768699.56849721
57,2006,216314.42593935409,1.126765342131933,74978.0,87954.1,1.1673299266805652,1688.5,258676.0,5795.6138,1.0150252900922343,33589139.31875044
58,2007,265810.30584365,1.1416239499673384,75321.0,103948.6,1.1374884825825005,1783.04,280508.0,7654.908190000001,1.0480726952953248,58597619.39732909
59,2008,314045.42708655354,1.0963466821132262,75564.0,128084.4,1.1314873786238566,2129.21,291448.0,9685.56019,1.059012725492938,93810076.19411284
61,2010,401202.0284084352,1.1043906515607524,76105.0,182340.4,1.1233371953771139,3250.18,324939.0,12550.02,1.033,157503002.0004
